"book_name","department","study_level","read_count"
"20000 Leagues Under the Sea","COMPUTER_SCIENCE","GRAD",27
"20000 Leagues Under the Sea","COMPUTER_SCIENCE","UNDERGRAD",11
"20000 Leagues Under the Sea","DANCE","GRAD",21
"20000 Leagues Under the Sea","DANCE","UNDERGRAD",18
"20000 Leagues Under the Sea","ECONOMICS","GRAD",18
"20000 Leagues Under the Sea","ECONOMICS","UNDERGRAD",29
"20000 Leagues Under the Sea","ENGLISH","GRAD",20
"20000 Leagues Under the Sea","ENGLISH","UNDERGRAD",19
"20000 Leagues Under the Sea","MATHEMATICS","GRAD",19
"20000 Leagues Under the Sea","MATHEMATICS","UNDERGRAD",27
"20000 Leagues Under the Sea","POLITICAL_SCIENCE","GRAD",23
"20000 Leagues Under the Sea","POLITICAL_SCIENCE","UNDERGRAD",23
"20000 Leagues Under the Sea","PSYCHOLOGY","GRAD",23
"20000 Leagues Under the Sea","PSYCHOLOGY","UNDERGRAD",25
"20000 Leagues Under the Sea","STATISTICS","GRAD",21
"20000 Leagues Under the Sea","STATISTICS","UNDERGRAD",18
"Age of Discontuinity, The","COMPUTER_SCIENCE","GRAD",27
"Age of Discontuinity, The","COMPUTER_SCIENCE","UNDERGRAD",19
"Age of Discontuinity, The","DANCE","GRAD",15
"Age of Discontuinity, The","DANCE","UNDERGRAD",22
"Age of Discontuinity, The","ECONOMICS","GRAD",18
"Age of Discontuinity, The","ECONOMICS","UNDERGRAD",19
"Age of Discontuinity, The","ENGLISH","GRAD",23
"Age of Discontuinity, The","ENGLISH","UNDERGRAD",19
"Age of Discontuinity, The","MATHEMATICS","GRAD",19
"Age of Discontuinity, The","MATHEMATICS","UNDERGRAD",22
"Age of Discontuinity, The","POLITICAL_SCIENCE","GRAD",28
"Age of Discontuinity, The","POLITICAL_SCIENCE","UNDERGRAD",20
"Age of Discontuinity, The","PSYCHOLOGY","GRAD",24
"Age of Discontuinity, The","PSYCHOLOGY","UNDERGRAD",27
"Age of Discontuinity, The","STATISTICS","GRAD",27
"Age of Discontuinity, The","STATISTICS","UNDERGRAD",12
"Age of the Warrior, The","COMPUTER_SCIENCE","GRAD",28
"Age of the Warrior, The","COMPUTER_SCIENCE","UNDERGRAD",25
"Age of the Warrior, The","DANCE","GRAD",19
"Age of the Warrior, The","DANCE","UNDERGRAD",16
"Age of the Warrior, The","ECONOMICS","GRAD",25
"Age of the Warrior, The","ECONOMICS","UNDERGRAD",19
"Age of the Warrior, The","ENGLISH","GRAD",28
"Age of the Warrior, The","ENGLISH","UNDERGRAD",23
"Age of the Warrior, The","MATHEMATICS","GRAD",15
"Age of the Warrior, The","MATHEMATICS","UNDERGRAD",18
"Age of the Warrior, The","POLITICAL_SCIENCE","GRAD",20
"Age of the Warrior, The","POLITICAL_SCIENCE","UNDERGRAD",21
"Age of the Warrior, The","PSYCHOLOGY","GRAD",25
"Age of the Warrior, The","PSYCHOLOGY","UNDERGRAD",22
"Age of the Warrior, The","STATISTICS","GRAD",29
"Age of the Warrior, The","STATISTICS","UNDERGRAD",23
"Age of Wrath, The","COMPUTER_SCIENCE","GRAD",32
"Age of Wrath, The","COMPUTER_SCIENCE","UNDERGRAD",22
"Age of Wrath, The","DANCE","GRAD",11
"Age of Wrath, The","DANCE","UNDERGRAD",25
"Age of Wrath, The","ECONOMICS","GRAD",21
"Age of Wrath, The","ECONOMICS","UNDERGRAD",26
"Age of Wrath, The","ENGLISH","GRAD",21
"Age of Wrath, The","ENGLISH","UNDERGRAD",16
"Age of Wrath, The","MATHEMATICS","GRAD",17
"Age of Wrath, The","MATHEMATICS","UNDERGRAD",28
"Age of Wrath, The","POLITICAL_SCIENCE","GRAD",19
"Age of Wrath, The","POLITICAL_SCIENCE","UNDERGRAD",24
"Age of Wrath, The","PSYCHOLOGY","GRAD",23
"Age of Wrath, The","PSYCHOLOGY","UNDERGRAD",23
"Age of Wrath, The","STATISTICS","GRAD",24
"Age of Wrath, The","STATISTICS","UNDERGRAD",19
"Aghal Paghal","COMPUTER_SCIENCE","GRAD",27
"Aghal Paghal","COMPUTER_SCIENCE","UNDERGRAD",25
"Aghal Paghal","DANCE","GRAD",17
"Aghal Paghal","DANCE","UNDERGRAD",9
"Aghal Paghal","ECONOMICS","GRAD",18
"Aghal Paghal","ECONOMICS","UNDERGRAD",14
"Aghal Paghal","ENGLISH","GRAD",19
"Aghal Paghal","ENGLISH","UNDERGRAD",23
"Aghal Paghal","MATHEMATICS","GRAD",14
"Aghal Paghal","MATHEMATICS","UNDERGRAD",25
"Aghal Paghal","POLITICAL_SCIENCE","GRAD",30
"Aghal Paghal","POLITICAL_SCIENCE","UNDERGRAD",26
"Aghal Paghal","PSYCHOLOGY","GRAD",37
"Aghal Paghal","PSYCHOLOGY","UNDERGRAD",29
"Aghal Paghal","STATISTICS","GRAD",22
"Aghal Paghal","STATISTICS","UNDERGRAD",18
"Ahe Manohar Tari","COMPUTER_SCIENCE","GRAD",28
"Ahe Manohar Tari","COMPUTER_SCIENCE","UNDERGRAD",21
"Ahe Manohar Tari","DANCE","GRAD",21
"Ahe Manohar Tari","DANCE","UNDERGRAD",18
"Ahe Manohar Tari","ECONOMICS","GRAD",29
"Ahe Manohar Tari","ECONOMICS","UNDERGRAD",20
"Ahe Manohar Tari","ENGLISH","GRAD",22
"Ahe Manohar Tari","ENGLISH","UNDERGRAD",21
"Ahe Manohar Tari","MATHEMATICS","GRAD",18
"Ahe Manohar Tari","MATHEMATICS","UNDERGRAD",21
"Ahe Manohar Tari","POLITICAL_SCIENCE","GRAD",19
"Ahe Manohar Tari","POLITICAL_SCIENCE","UNDERGRAD",26
"Ahe Manohar Tari","PSYCHOLOGY","GRAD",26
"Ahe Manohar Tari","PSYCHOLOGY","UNDERGRAD",26
"Ahe Manohar Tari","STATISTICS","GRAD",22
"Ahe Manohar Tari","STATISTICS","UNDERGRAD",19
"All the President's Men","COMPUTER_SCIENCE","GRAD",28
"All the President's Men","COMPUTER_SCIENCE","UNDERGRAD",15
"All the President's Men","DANCE","GRAD",15
"All the President's Men","DANCE","UNDERGRAD",19
"All the President's Men","ECONOMICS","GRAD",22
"All the President's Men","ECONOMICS","UNDERGRAD",14
"All the President's Men","ENGLISH","GRAD",24
"All the President's Men","ENGLISH","UNDERGRAD",20
"All the President's Men","MATHEMATICS","GRAD",14
"All the President's Men","MATHEMATICS","UNDERGRAD",21
"All the President's Men","POLITICAL_SCIENCE","GRAD",27
"All the President's Men","POLITICAL_SCIENCE","UNDERGRAD",29
"All the President's Men","PSYCHOLOGY","GRAD",21
"All the President's Men","PSYCHOLOGY","UNDERGRAD",24
"All the President's Men","STATISTICS","GRAD",34
